signal_name,dbc_source,unit,data_type,enum_values,min_physical,max_physical,message_name,message_id,notes
DAS_accelMax,can1-can.dbc,m/s^2,enum,"{""511"": ""SNA""}",-15.0,5.44,DAS_control,0x2b9,
DAS_controlCounter,can1-can.dbc,,int,,,,DAS_control,0x2b9,
DAS_controlChecksum,can1-can.dbc,,int,,,,DAS_control,0x2b9,
DAS_locMode,can1-can.dbc,,enum,"{""3"": ""DAS_LOC_DRIVERLESS"", ""2"": ""DAS_LOC_RESTRICTED"", ""1"": ""DAS_LOC_NORMAL"", ""0"": ""DAS_LOC_OFF""}",,,DAS_longControl,0x209,
DAS_locState,can1-can.dbc,,enum,"{""7"": ""DAS_LOC_FAULT_SNA"", ""6"": ""DAS_LOC_AEB_ACTIVE"", ""2"": ""DAS_LOC_CANCEL_SILENT"", ""1"": ""DAS_LOC_CANCEL_GENERIC"", ""0"": ""DAS_LOC_HEALTHY""}",,,DAS_longControl,0x209,
DAS_locRequest,can1-can.dbc,,enum,"{""4"": ""DAS_RQ_PARK"", ""3"": ""DAS_RQ_HOLD"", ""2"": ""DAS_RQ_BACKWARD"", ""1"": ""DAS_RQ_FORWARD"", ""0"": ""DAS_RQ_IDLE""}",,,DAS_longControl,0x209,
DAS_locJerkMin,can1-can.dbc,m/s^3,enum,"{""255"": ""SNA""}",-8.67,0.0,DAS_longControl,0x209,
DAS_locJerkMax,can1-can.dbc,m/s^3,enum,"{""255"": ""SNA""}",0.0,8.67,DAS_longControl,0x209,
DAS_locSpeed,can1-can.dbc,kph,enum,"{""2047"": ""SNA""}",0.0,204.7,DAS_longControl,0x209,
DAS_locAccelMin,can1-can.dbc,m/s^2,enum,"{""511"": ""SNA""}",-15.0,5.44,DAS_longControl,0x209,
DAS_locAccelMax,can1-can.dbc,m/s^2,enum,"{""511"": ""SNA""}",-15.0,5.44,DAS_longControl,0x209,
DAS_longControlCounter,can1-can.dbc,,int,,,,DAS_longControl,0x209,
DAS_longControlChecksum,can1-can.dbc,,int,,,,DAS_longControl,0x209,
DAS_leftLaneExists,can1-can.dbc,,int,,,,DAS_lanes,0x239,
DAS_rightLaneExists,can1-can.dbc,,int,,,,DAS_lanes,0x239,
DAS_virtualLaneWidth,can1-can.dbc,m,int,,2.0,7.0,DAS_lanes,0x239,
DAS_virtualLaneViewRange,can1-can.dbc,m,int,,0.0,160.0,DAS_lanes,0x239,
DAS_virtualLaneC0,can1-can.dbc,m,int,,-3.5,3.5,DAS_lanes,0x239,
DAS_virtualLaneC1,can1-can.dbc,rad,int,,-0.2,0.2,DAS_lanes,0x239,
DAS_virtualLaneC2,can1-can.dbc,m-1,int,,-0.0025,0.0025,DAS_lanes,0x239,
DAS_virtualLaneC3,can1-can.dbc,m-2,int,,-3e-05,3e-05,DAS_lanes,0x239,
DAS_leftLineUsage,can1-can.dbc,,enum,"{""3"": ""BLACKLISTED"", ""2"": ""FUSED"", ""1"": ""AVAILABLE"", ""0"": ""REJECTED_UNAVAILABLE""}",0.0,3.0,DAS_lanes,0x239,
DAS_rightLineUsage,can1-can.dbc,,enum,"{""3"": ""BLACKLISTED"", ""2"": ""FUSED"", ""1"": ""AVAILABLE"", ""0"": ""REJECTED_UNAVAILABLE""}",0.0,3.0,DAS_lanes,0x239,
DAS_leftFork,can1-can.dbc,,enum,"{""3"": ""LEFT_FORK_UNAVAILABLE"", ""2"": ""LEFT_FORK_SELECTED"", ""1"": ""LEFT_FORK_AVAILABLE"", ""0"": ""LEFT_FORK_NONE""}",0.0,3.0,DAS_lanes,0x239,
DAS_rightFork,can1-can.dbc,,enum,"{""3"": ""RIGHT_FORK_UNAVAILABLE"", ""2"": ""RIGHT_FORK_SELECTED"", ""1"": ""RIGHT_FORK_AVAILABLE"", ""0"": ""RIGHT_FORK_NONE""}",0.0,3.0,DAS_lanes,0x239,
DAS_lanesCounter,can1-can.dbc,,int,,,,DAS_lanes,0x239,
GTW_epasEmergencyOn,can1-can.dbc,,enum,"{""1"": ""EMERGENCY_POWER"", ""0"": ""NONE""}",-1.0,2.0,GTW_epasControl,0x101,
GTW_epasPowerMode,can1-can.dbc,,enum,"{""0"": ""DRIVE_OFF"", ""1"": ""DRIVE_ON"", ""3"": ""LOAD_SHED"", ""2"": ""SHUTTING_DOWN"", ""15"": ""SNA""}",4.0,14.0,GTW_epasControl,0x101,
GTW_epasTuneRequest,can1-can.dbc,,enum,"{""1"": ""DM_COMFORT"", ""3"": ""DM_SPORT"", ""2"": ""DM_STANDARD"", ""0"": ""FAIL_SAFE_DEFAULT"", ""4"": ""RWD_COMFORT"", ""6"": ""RWD_SPORT"", ""5"": ""RWD_STANDARD"", ""7"": ""SNA""}",-1.0,8.0,GTW_epasControl,0x101,
GTW_epasControlType,can1-can.dbc,,enum,"{""0"": ""WITHOUT"", ""1"": ""WITH_ANGLE"", ""3"": ""WITH_BOTH"", ""2"": ""WITH_TORQUE""}",-1.0,4.0,GTW_epasControl,0x101,
GTW_epasLDWEnabled,can1-can.dbc,,enum,"{""1"": ""ALLOWED"", ""0"": ""INHIBITED""}",-1.0,2.0,GTW_epasControl,0x101,
GTW_epasControlCounter,can1-can.dbc,,int,,0.0,15.0,GTW_epasControl,0x101,
GTW_epasControlChecksum,can1-can.dbc,,int,,0.0,255.0,GTW_epasControl,0x101,
EPAS_currentTuneMode,can1-can.dbc,,enum,"{""1"": ""DM_COMFORT"", ""3"": ""DM_SPORT"", ""2"": ""DM_STANDARD"", ""0"": ""FAIL_SAFE_DEFAULT"", ""4"": ""RWD_COMFORT"", ""6"": ""RWD_SPORT"", ""5"": ""RWD_STANDARD"", ""7"": ""UNAVAILABLE""}",8.0,15.0,EPAS_sysStatus,0x370,
EPAS_steeringReduced,can1-can.dbc,,enum,"{""0"": ""NORMAL_ASSIST"", ""1"": ""REDUCED_ASSIST""}",-1.0,2.0,EPAS_sysStatus,0x370,
EPAS_steeringFault,can1-can.dbc,,enum,"{""1"": ""FAULT"", ""0"": ""NO_FAULT""}",-1.0,2.0,EPAS_sysStatus,0x370,
EPAS_steeringRackForce,can1-can.dbc,N,enum,"{""1022"": ""NOT_IN_SPEC"", ""1023"": ""SNA""}",,,EPAS_sysStatus,0x370,
EPAS_eacErrorCode,can1-can.dbc,,enum,"{""14"": ""EAC_ERROR_EPB_INHIBIT"", ""3"": ""EAC_ERROR_HANDS_ON"", ""7"": ""EAC_ERROR_HIGH_ANGLE_RATE_REQ"", ""9"": ""EAC_ERROR_HIGH_ANGLE_RATE_SAFETY"", ""6"": ""EAC_ERROR_HIGH_ANGLE_REQ"", ""8"": ""EAC_ERROR_HIGH_ANGLE_SAFETY"", ""10"": ""EAC_ERROR_HIGH_MMOT_SAFETY"", ""11"": ""EAC_ERROR_HIGH_TORSION_SAFETY"", ""0"": ""EAC_ERROR_IDLE"", ""12"": ""EAC_ERROR_LOW_ASSIST"", ""2"": ""EAC_ERROR_MAX_SPEED"", ""1"": ""EAC_ERROR_MIN_SPEED"", ""13"": ""EAC_ERROR_PINION_VEL_DIFF"", ""4"": ""EAC_ERROR_TMP_FAULT"", ""5"": ""EAR_ERROR_MAX_STEER_DELTA"", ""15"": ""SNA""}",-1.0,16.0,EPAS_sysStatus,0x370,
EPAS_torsionBarTorque,can1-can.dbc,Nm,enum,"{""0"": ""SEE_SPECIFICATION"", ""4095"": ""SNA"", ""4094"": ""UNDEFINABLE_DATA""}",,,EPAS_sysStatus,0x370,
EPAS_handsOnLevel,can1-can.dbc,,enum,"{""0"": ""0"", ""1"": ""1"", ""2"": ""2"", ""3"": ""3""}",-1.0,4.0,EPAS_sysStatus,0x370,
EPAS_internalSAS,can1-can.dbc,deg,int,,,,EPAS_sysStatus,0x370,
EPAS_eacStatus,can1-can.dbc,,enum,"{""2"": ""EAC_ACTIVE"", ""1"": ""EAC_AVAILABLE"", ""3"": ""EAC_FAULT"", ""0"": ""EAC_INHIBITED"", ""4"": ""SNA""}",5.0,7.0,EPAS_sysStatus,0x370,
EPAS_sysStatusCounter,can1-can.dbc,,int,,0.0,15.0,EPAS_sysStatus,0x370,
EPAS_sysStatusChecksum,can1-can.dbc,,int,,0.0,255.0,EPAS_sysStatus,0x370,
EPAS_currentTuneMode,can1-can.dbc,,int,,,,EPAS3P_sysStatus,0x131,
EPAS_steeringReduced,can1-can.dbc,,int,,0.0,1.0,EPAS3P_sysStatus,0x131,
EPAS_steeringFault,can1-can.dbc,,int,,0.0,1.0,EPAS3P_sysStatus,0x131,
EPAS_steeringRackForce,can1-can.dbc,N,int,,-25575.0,25575.0,EPAS3P_sysStatus,0x131,
EPAS_eacErrorCode,can1-can.dbc,,int,,0.0,15.0,EPAS3P_sysStatus,0x131,
EPAS_torsionBarTorque,can1-can.dbc,Nm,int,,-20.5,20.45,EPAS3P_sysStatus,0x131,
EPAS_handsOnLevel,can1-can.dbc,,int,,0.0,3.0,EPAS3P_sysStatus,0x131,
EPAS_internalSAS,can1-can.dbc,deg,int,,-819.2,819.0,EPAS3P_sysStatus,0x131,
EPAS_eacStatus,can1-can.dbc,,int,,0.0,7.0,EPAS3P_sysStatus,0x131,
EPAS_sysStatusCounter,can1-can.dbc,,int,,0.0,15.0,EPAS3P_sysStatus,0x131,
EPAS_sysStatusChecksum,can1-can.dbc,,int,,0.0,255.0,EPAS3P_sysStatus,0x131,
StW_Angl,can1-can.dbc,deg,enum,"{""16383"": ""SNA""}",,,STW_ANGL_STAT,0x3,
StW_AnglSpd,can1-can.dbc,/s,enum,"{""16383"": ""SNA""}",,,STW_ANGL_STAT,0x3,
StW_AnglSens_Id,can1-can.dbc,,enum,"{""2"": ""MUST"", ""0"": ""PSBL"", ""1"": ""SELF""}",3.0,3.0,STW_ANGL_STAT,0x3,
StW_AnglSens_Stat,can1-can.dbc,,enum,"{""2"": ""ERR"", ""3"": ""ERR_INI"", ""1"": ""INI"", ""0"": ""OK""}",-1.0,4.0,STW_ANGL_STAT,0x3,
MC_STW_ANGL_STAT,can1-can.dbc,,int,,0.0,15.0,STW_ANGL_STAT,0x3,
CRC_STW_ANGL_STAT,can1-can.dbc,,int,,0.0,255.0,STW_ANGL_STAT,0x3,
StW_AnglHP,can1-can.dbc,deg,enum,"{""16383"": ""SNA""}",-819.2,819.0,STW_ANGLHP_STAT,0xe,
StW_AnglHP_Spd,can1-can.dbc,deg/s,enum,"{""16383"": ""SNA""}",-4096.0,4095.5,STW_ANGLHP_STAT,0xe,
StW_AnglHP_Sens_Id,can1-can.dbc,,enum,"{""3"": ""SNA"", ""2"": ""KOSTAL"", ""1"": ""DELPHI"", ""0"": ""TEST""}",,,STW_ANGLHP_STAT,0xe,
StW_AnglHP_Sens_Stat,can1-can.dbc,,enum,"{""3"": ""SNA"", ""2"": ""ERR"", ""1"": ""INI"", ""0"": ""OK""}",,,STW_ANGLHP_STAT,0xe,
MC_STW_ANGLHP_STAT,can1-can.dbc,,int,,0.0,15.0,STW_ANGLHP_STAT,0xe,
CRC_STW_ANGLHP_STAT,can1-can.dbc,,int,,,,STW_ANGLHP_STAT,0xe,
DI_torqueDriver,can1-can.dbc,Nm,enum,"{""-4096"": ""SNA""}",-750.0,750.0,DI_torque1,0x108,
DI_torque1Counter,can1-can.dbc,,int,,,,DI_torque1,0x108,
DI_torqueMotor,can1-can.dbc,Nm,enum,"{""-4096"": ""SNA""}",-750.0,750.0,DI_torque1,0x108,
DI_soptState,can1-can.dbc,,enum,"{""7"": ""SOPT_TEST_SNA"", ""4"": ""SOPT_TEST_NOT_RUN"", ""3"": ""SOPT_TEST_PASSED"", ""2"": ""SOPT_TEST_FAILED"", ""1"": ""SOPT_TEST_IN_PROGRESS"", ""0"": ""SOPT_PRE_TEST""}",,,DI_torque1,0x108,
DI_motorRPM,can1-can.dbc,RPM,enum,"{""-32768"": ""SNA""}",-17000.0,17000.0,DI_torque1,0x108,
DI_pedalPos,can1-can.dbc,%,enum,"{""255"": ""SNA""}",0.0,100.0,DI_torque1,0x108,
DI_torque1Checksum,can1-can.dbc,,int,,,,DI_torque1,0x108,
DI_torqueEstimate,can1-can.dbc,Nm,enum,"{""-2048"": ""SNA""}",-750.0,750.0,DI_torque2,0x118,
DI_gear,can1-can.dbc,,enum,"{""7"": ""DI_GEAR_SNA"", ""4"": ""DI_GEAR_D"", ""3"": ""DI_GEAR_N"", ""2"": ""DI_GEAR_R"", ""1"": ""DI_GEAR_P"", ""0"": ""DI_GEAR_INVALID""}",,,DI_torque2,0x118,
DI_brakePedal,can1-can.dbc,,enum,"{""1"": ""Applied"", ""0"": ""Not_applied""}",,,DI_torque2,0x118,
DI_vehicleSpeed,can1-can.dbc,MPH,enum,"{""4095"": ""SNA""}",-25.0,179.75,DI_torque2,0x118,
DI_gearRequest,can1-can.dbc,,enum,"{""7"": ""DI_GEAR_SNA"", ""4"": ""DI_GEAR_D"", ""3"": ""DI_GEAR_N"", ""2"": ""DI_GEAR_R"", ""1"": ""DI_GEAR_P"", ""0"": ""DI_GEAR_INVALID""}",,,DI_torque2,0x118,
DI_torqueInterfaceFailure,can1-can.dbc,,enum,"{""1"": ""TORQUE_INTERFACE_FAILED"", ""0"": ""TORQUE_INTERFACE_NORMAL""}",,,DI_torque2,0x118,
DI_torque2Counter,can1-can.dbc,,int,,,,DI_torque2,0x118,
DI_brakePedalState,can1-can.dbc,,enum,"{""3"": ""SNA"", ""2"": ""INVALID"", ""1"": ""ON"", ""0"": ""OFF""}",,,DI_torque2,0x118,
DI_epbParkRequest,can1-can.dbc,,enum,"{""1"": ""Park_requested"", ""0"": ""No_request""}",,,DI_torque2,0x118,
DI_epbInterfaceReady,can1-can.dbc,,enum,"{""1"": ""EPB_INTERFACE_READY"", ""0"": ""EPB_INTERFACE_NOT_READY""}",,,DI_torque2,0x118,
DI_torque2Checksum,can1-can.dbc,,int,,,,DI_torque2,0x118,
ESP_espLampFlash,can1-can.dbc,,enum,"{""1"": ""FLASH"", ""0"": ""OFF""}",-1.0,2.0,ESP_135h,0x135,
ESP_espFaultLamp,can1-can.dbc,,enum,"{""0"": ""OFF"", ""1"": ""ON""}",-1.0,2.0,ESP_135h,0x135,
ESP_tcLampFlash,can1-can.dbc,,enum,"{""1"": ""FLASH"", ""0"": ""OFF""}",-1.0,2.0,ESP_135h,0x135,
ESP_brakeDiscWipingActive,can1-can.dbc,,enum,"{""1"": ""ACTIVE"", ""0"": ""INACTIVE""}",-1.0,2.0,ESP_135h,0x135,
ESP_brakeLamp,can1-can.dbc,,enum,"{""0"": ""OFF"", ""1"": ""ON""}",-1.0,2.0,ESP_135h,0x135,
ESP_absBrakeEvent,can1-can.dbc,,enum,"{""1"": ""ACTIVE"", ""0"": ""NOT_ACTIVE""}",-1.0,2.0,ESP_135h,0x135,
ESP_hillStartAssistActive,can1-can.dbc,,enum,"{""1"": ""ACTIVE"", ""0"": ""INACTIVE"", ""2"": ""NOT_AVAILABLE"", ""3"": ""SNA""}",-1.0,4.0,ESP_135h,0x135,
ESP_tcOffLamp,can1-can.dbc,,int,,0.0,1.0,ESP_135h,0x135,
ESP_stabilityControlSts,can1-can.dbc,,enum,"{""2"": ""ENGAGED"", ""3"": ""FAULTED"", ""5"": ""INIT"", ""4"": ""NOT_CONFIGURED"", ""0"": ""OFF"", ""1"": ""ON""}",6.0,7.0,ESP_135h,0x135,
ESP_135hCounter,can1-can.dbc,,int,,0.0,15.0,ESP_135h,0x135,
ESP_135hChecksum,can1-can.dbc,,int,,0.0,255.0,ESP_135h,0x135,
ESP_espOffLamp,can1-can.dbc,,enum,"{""0"": ""OFF"", ""1"": ""ON""}",-1.0,2.0,ESP_135h,0x135,
ESP_hydraulicBoostEnabled,can1-can.dbc,,int,,0.0,1.0,ESP_135h,0x135,
ESP_messageDynoModeActive,can1-can.dbc,,int,,0.0,1.0,ESP_135h,0x135,
ESP_tcDisabledByFault,can1-can.dbc,,int,,0.0,1.0,ESP_135h,0x135,
ESP_absFaultLamp,can1-can.dbc,,enum,"{""0"": ""OFF"", ""1"": ""ON""}",-1.0,2.0,ESP_135h,0x135,
ESP_messageEBDFailure,can1-can.dbc,,int,,0.0,1.0,ESP_135h,0x135,
ESP_messagePumpFailure,can1-can.dbc,,int,,0.0,1.0,ESP_135h,0x135,
ESP_messagePumpService,can1-can.dbc,,int,,0.0,1.0,ESP_135h,0x135,
ESP_wheelPulseCountFrL,can1-can.dbc,,int,,0.0,254.0,ESP_B,0x155,
ESP_wheelPulseCountFrR,can1-can.dbc,,int,,0.0,254.0,ESP_B,0x155,
ESP_wheelPulseCountReL,can1-can.dbc,,int,,0.0,254.0,ESP_B,0x155,
ESP_wheelPulseCountReR,can1-can.dbc,,int,,0.0,254.0,ESP_B,0x155,
ESP_BChecksum,can1-can.dbc,,int,,0.0,255.0,ESP_B,0x155,
ESP_vehicleSpeed,can1-can.dbc,kph,int,,,,ESP_B,0x155,
ESP_BCounter,can1-can.dbc,,int,,1.0,15.0,ESP_B,0x155,
ESP_vehicleSpeedQF,can1-can.dbc,,int,,1.0,2.0,ESP_B,0x155,
SDM_bcklDrivStatus,can1-can.dbc,,int,,0.0,3.0,SDM1,0x201,
SDM_bcklPassStatus,can1-can.dbc,,int,,0.0,3.0,SDM1,0x201,
EPB_epasEACAllow,can1-can.dbc,,int,,4.0,7.0,EPB_epasControl,0x214,
EPB_epasControlCounter,can1-can.dbc,,int,,0.0,15.0,EPB_epasControl,0x214,
EPB_epasControlChecksum,can1-can.dbc,,int,,0.0,255.0,EPB_epasControl,0x214,
YEAR,can1-can.dbc,Year,enum,"{""126"": ""Init"", ""127"": ""SNA""}",2000.0,2127.0,GTW_carState,0x318,
CERRD,can1-can.dbc,,enum,"{""1"": ""CAN error detect"", ""0"": ""no Can error detected""}",0.0,1.0,GTW_carState,0x318,
MONTH,can1-can.dbc,Month,enum,"{""1"": ""Init"", ""15"": ""SNA""}",1.0,12.0,GTW_carState,0x318,
DOOR_STATE_FL,can1-can.dbc,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,GTW_carState,0x318,
DOOR_STATE_FR,can1-can.dbc,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,GTW_carState,0x318,
SECOND,can1-can.dbc,s,enum,"{""62"": ""Init"", ""63"": ""SNA""}",0.0,59.0,GTW_carState,0x318,
DOOR_STATE_RL,can1-can.dbc,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,GTW_carState,0x318,
Hour,can1-can.dbc,h,enum,"{""30"": ""Init"", ""31"": ""SNA""}",0.0,23.0,GTW_carState,0x318,
DOOR_STATE_RR,can1-can.dbc,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,GTW_carState,0x318,
DAY,can1-can.dbc,,enum,"{""1"": ""Init"", ""0"": ""SNA""}",0.0,31.0,GTW_carState,0x318,
MINUTE,can1-can.dbc,min,enum,"{""62"": ""Init"", ""63"": ""SNA""}",0.0,59.0,GTW_carState,0x318,
BOOT_STATE,can1-can.dbc,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,GTW_carState,0x318,
GTW_updateInProgress,can1-can.dbc,,enum,"{""1"": ""IN_PROGRESS"", ""2"": ""IN_PROGRESS_NOT_USED"", ""3"": ""IN_PROGRESS_SNA"", ""0"": ""NOT_IN_PROGRESS""}",0.0,3.0,GTW_carState,0x318,
BC_headLightLStatus,can1-can.dbc,,int,,0.0,3.0,GTW_carState,0x318,
DOOR_STATE_FrontTrunk,can1-can.dbc,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,GTW_carState,0x318,
MCU_transportModeOn,can1-can.dbc,,enum,"{""0"": ""NORMAL_MODE""}",0.0,1.0,GTW_carState,0x318,
MCU_factoryMode,can1-can.dbc,,enum,"{""1"": ""FACTORY_MODE"", ""0"": ""NORMAL_MODE""}",0.0,1.0,GTW_carState,0x318,
BC_indicatorRStatus,can1-can.dbc,,int,,0.0,3.0,GTW_carState,0x318,
BC_indicatorLStatus,can1-can.dbc,,int,,0.0,3.0,GTW_carState,0x318,
BC_headLightRStatus,can1-can.dbc,,int,,0.0,3.0,GTW_carState,0x318,
DI_systemState,can1-can.dbc,,enum,"{""3"": ""ABORT"", ""4"": ""ENABLE"", ""2"": ""FAULT"", ""1"": ""STANDBY"", ""0"": ""UNAVAILABLE""}",,,DI_state,0x368,
DI_vehicleHoldState,can1-can.dbc,,enum,"{""2"": ""BLEND_IN"", ""4"": ""BLEND_OUT"", ""6"": ""FAULT"", ""7"": ""INIT"", ""5"": ""PARK"", ""1"": ""STANDBY"", ""3"": ""STANDSTILL"", ""0"": ""UNAVAILABLE""}",,,DI_state,0x368,
DI_proximity,can1-can.dbc,,int,,,,DI_state,0x368,
DI_driveReady,can1-can.dbc,,int,,,,DI_state,0x368,
DI_regenLight,can1-can.dbc,,int,,,,DI_state,0x368,
DI_state,can1-can.dbc,,enum,"{""3"": ""ABORT"", ""4"": ""ENABLE"", ""2"": ""FAULT"", ""1"": ""STANDBY"", ""0"": ""UNAVAILABLE""}",,,DI_state,0x368,
DI_cruiseState,can1-can.dbc,,enum,"{""2"": ""ENABLED"", ""5"": ""FAULT"", ""0"": ""OFF"", ""4"": ""OVERRIDE"", ""7"": ""PRE_CANCEL"", ""6"": ""PRE_FAULT"", ""1"": ""STANDBY"", ""3"": ""STANDSTILL""}",,,DI_state,0x368,
DI_analogSpeed,can1-can.dbc,speed,enum,"{""4095"": ""SNA""}",0.0,150.0,DI_state,0x368,
DI_immobilizerState,can1-can.dbc,,enum,"{""2"": ""AUTHENTICATING"", ""3"": ""DISARMED"", ""6"": ""FAULT"", ""4"": ""IDLE"", ""0"": ""INIT_SNA"", ""1"": ""REQUEST"", ""5"": ""RESET""}",,,DI_state,0x368,
DI_speedUnits,can1-can.dbc,,enum,"{""1"": ""KPH"", ""0"": ""MPH""}",0.0,1.0,DI_state,0x368,
DI_cruiseSet,can1-can.dbc,speed,int,,0.0,255.5,DI_state,0x368,
DI_aebState,can1-can.dbc,,enum,"{""2"": ""ENABLED"", ""4"": ""FAULT"", ""7"": ""SNA"", ""1"": ""STANDBY"", ""3"": ""STANDSTILL"", ""0"": ""UNAVAILABLE""}",,,DI_state,0x368,
DI_stateCounter,can1-can.dbc,,int,,,,DI_state,0x368,
DI_digitalSpeed,can1-can.dbc,,enum,"{""255"": ""SNA""}",0.0,250.0,DI_state,0x368,
DI_stateChecksum,can1-can.dbc,,int,,,,DI_state,0x368,
StW_Sw_Stat3,can1-can.dbc,,enum,"{""7"": ""SNA"", ""6"": ""NDEF6"", ""5"": ""NDEF5"", ""4"": ""NDEF4"", ""3"": ""PLUS_MINUS"", ""2"": ""MINUS"", ""1"": ""PLUS"", ""0"": ""NPSD""}",,,SBW_RQ_SCCM,0x6d,
MsgTxmtId,can1-can.dbc,,enum,"{""3"": ""NDEF3"", ""2"": ""NDEF2"", ""1"": ""SCCM"", ""0"": ""EWM""}",,,SBW_RQ_SCCM,0x6d,
TSL_RND_Posn_StW,can1-can.dbc,,enum,"{""15"": ""SNA"", ""8"": ""D"", ""6"": ""INI"", ""4"": ""N_DOWN"", ""2"": ""N_UP"", ""1"": ""R"", ""0"": ""IDLE""}",,,SBW_RQ_SCCM,0x6d,
TSL_P_Psd_StW,can1-can.dbc,,enum,"{""3"": ""SNA"", ""2"": ""INI"", ""1"": ""PSD"", ""0"": ""IDLE""}",,,SBW_RQ_SCCM,0x6d,
MC_SBW_RQ_SCCM,can1-can.dbc,,int,,0.0,15.0,SBW_RQ_SCCM,0x6d,
CRC_SBW_RQ_SCCM,can1-can.dbc,,int,,,,SBW_RQ_SCCM,0x6d,
SpdCtrlLvr_Stat,can1-can.dbc,,enum,"{""32"": ""DN_1ST"", ""16"": ""UP_1ST"", ""8"": ""DN_2ND"", ""4"": ""UP_2ND"", ""2"": ""RWD"", ""1"": ""FWD"", ""0"": ""IDLE""}",,,STW_ACTN_RQ,0x45,
VSL_Enbl_Rq,can1-can.dbc,,int,,,,STW_ACTN_RQ,0x45,
SpdCtrlLvrStat_Inv,can1-can.dbc,,int,,,,STW_ACTN_RQ,0x45,
DTR_Dist_Rq,can1-can.dbc,,enum,"{""255"": ""SNA"", ""200"": ""ACC_DIST_7"", ""166"": ""ACC_DIST_6"", ""133"": ""ACC_DIST_5"", ""100"": ""ACC_DIST_4"", ""66"": ""ACC_DIST_3"", ""33"": ""ACC_DIST_2"", ""0"": ""ACC_DIST_1""}",0.0,200.0,STW_ACTN_RQ,0x45,
TurnIndLvr_Stat,can1-can.dbc,,enum,"{""3"": ""SNA"", ""2"": ""RIGHT"", ""1"": ""LEFT"", ""0"": ""IDLE""}",,,STW_ACTN_RQ,0x45,
HiBmLvr_Stat,can1-can.dbc,,enum,"{""3"": ""SNA"", ""2"": ""HIBM_FLSH_ON_PSD"", ""1"": ""HIBM_ON_PSD"", ""0"": ""IDLE""}",,,STW_ACTN_RQ,0x45,
WprWashSw_Psd,can1-can.dbc,,enum,"{""3"": ""SNA"", ""2"": ""WASH"", ""1"": ""TIPWIPE"", ""0"": ""NPSD""}",,,STW_ACTN_RQ,0x45,
WprWash_R_Sw_Posn_V2,can1-can.dbc,,enum,"{""3"": ""SNA"", ""2"": ""WASH"", ""1"": ""INTERVAL"", ""0"": ""OFF""}",,,STW_ACTN_RQ,0x45,
