signal_name,unit,data_type,enum_values,min_physical,max_physical,scaling,offset,bit_length,is_multiplexer,multiplexer_signal,message_name,message_id,dbc_source,notes
DAS_virtualLaneC3,m-2,int,,-3e-05,3e-05,2.4e-07,-3e-05,8,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_leftLineUsage,,enum,"{""3"": ""BLACKLISTED"", ""2"": ""FUSED"", ""1"": ""AVAILABLE"", ""0"": ""REJECTED_UNAVAILABLE""}",0.0,3.0,1.0,0.0,2,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_rightLineUsage,,enum,"{""3"": ""BLACKLISTED"", ""2"": ""FUSED"", ""1"": ""AVAILABLE"", ""0"": ""REJECTED_UNAVAILABLE""}",0.0,3.0,1.0,0.0,2,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_leftFork,,enum,"{""3"": ""LEFT_FORK_UNAVAILABLE"", ""2"": ""LEFT_FORK_SELECTED"", ""1"": ""LEFT_FORK_AVAILABLE"", ""0"": ""LEFT_FORK_NONE""}",0.0,3.0,1.0,0.0,2,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_rightFork,,enum,"{""3"": ""RIGHT_FORK_UNAVAILABLE"", ""2"": ""RIGHT_FORK_SELECTED"", ""1"": ""RIGHT_FORK_AVAILABLE"", ""0"": ""RIGHT_FORK_NONE""}",0.0,3.0,1.0,0.0,2,False,,DAS_lanes,0x239,can1-can.dbc,
DAS_lanesCounter,,int,,,,1.0,0.0,4,False,,DAS_lanes,0x239,can1-can.dbc,
GTW_epasEmergencyOn,,int,,-1.0,2.0,1.0,0.0,1,False,,GTW_epasControl,0x101,can1-can.dbc,
GTW_epasPowerMode,,enum,"{""0"": ""DRIVE_OFF"", ""1"": ""DRIVE_ON"", ""3"": ""LOAD_SHED"", ""2"": ""SHUTTING_DOWN"", ""15"": ""SNA""}",4.0,14.0,1.0,0.0,4,False,,GTW_epasControl,0x101,can1-can.dbc,
GTW_epasTuneRequest,,enum,"{""1"": ""DM_COMFORT"", ""3"": ""DM_SPORT"", ""2"": ""DM_STANDARD"", ""0"": ""FAIL_SAFE_DEFAULT"", ""4"": ""RWD_COMFORT"", ""6"": ""RWD_SPORT"", ""5"": ""RWD_STANDARD"", ""7"": ""SNA""}",-1.0,8.0,1.0,0.0,3,False,,GTW_epasControl,0x101,can1-can.dbc,
GTW_epasControlType,,enum,"{""0"": ""WITHOUT"", ""1"": ""WITH_ANGLE"", ""3"": ""WITH_BOTH"", ""2"": ""WITH_TORQUE""}",-1.0,4.0,1.0,0.0,2,False,,GTW_epasControl,0x101,can1-can.dbc,
GTW_epasLDWEnabled,,enum,"{""1"": ""ALLOWED"", ""0"": ""INHIBITED""}",-1.0,2.0,1.0,0.0,1,False,,GTW_epasControl,0x101,can1-can.dbc,
GTW_epasControlCounter,,int,,0.0,15.0,1.0,0.0,4,False,,GTW_epasControl,0x101,can1-can.dbc,
GTW_epasControlChecksum,,int,,0.0,255.0,1.0,0.0,8,False,,GTW_epasControl,0x101,can1-can.dbc,
EPAS_currentTuneMode,,enum,"{""1"": ""DM_COMFORT"", ""3"": ""DM_SPORT"", ""2"": ""DM_STANDARD"", ""0"": ""FAIL_SAFE_DEFAULT"", ""4"": ""RWD_COMFORT"", ""6"": ""RWD_SPORT"", ""5"": ""RWD_STANDARD"", ""7"": ""UNAVAILABLE""}",8.0,15.0,1.0,0.0,4,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_steeringReduced,,enum,"{""0"": ""NORMAL_ASSIST"", ""1"": ""REDUCED_ASSIST""}",-1.0,2.0,1.0,0.0,1,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_steeringFault,,enum,"{""1"": ""FAULT"", ""0"": ""NO_FAULT""}",-1.0,2.0,1.0,0.0,1,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_steeringRackForce,N,int,,,,50.0,-25575.0,10,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_eacErrorCode,,enum,"{""14"": ""EAC_ERROR_EPB_INHIBIT"", ""3"": ""EAC_ERROR_HANDS_ON"", ""7"": ""EAC_ERROR_HIGH_ANGLE_RATE_REQ"", ""9"": ""EAC_ERROR_HIGH_ANGLE_RATE_SAFETY"", ""6"": ""EAC_ERROR_HIGH_ANGLE_REQ"", ""8"": ""EAC_ERROR_HIGH_ANGLE_SAFETY"", ""10"": ""EAC_ERROR_HIGH_MMOT_SAFETY"", ""11"": ""EAC_ERROR_HIGH_TORSION_SAFETY"", ""0"": ""EAC_ERROR_IDLE"", ""12"": ""EAC_ERROR_LOW_ASSIST"", ""2"": ""EAC_ERROR_MAX_SPEED"", ""1"": ""EAC_ERROR_MIN_SPEED"", ""13"": ""EAC_ERROR_PINION_VEL_DIFF"", ""4"": ""EAC_ERROR_TMP_FAULT"", ""5"": ""EAR_ERROR_MAX_STEER_DELTA"", ""15"": ""SNA""}",-1.0,16.0,1.0,0.0,4,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_torsionBarTorque,Nm,enum,"{""0"": ""SEE_SPECIFICATION"", ""4095"": ""SNA"", ""4094"": ""UNDEFINABLE_DATA""}",,,0.01,-20.5,12,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_handsOnLevel,,enum,"{""0"": ""0"", ""1"": ""1"", ""2"": ""2"", ""3"": ""3""}",-1.0,4.0,1.0,0.0,2,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_internalSAS,deg,int,,,,0.1,-819.200012,14,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_eacStatus,,enum,"{""2"": ""EAC_ACTIVE"", ""1"": ""EAC_AVAILABLE"", ""3"": ""EAC_FAULT"", ""0"": ""EAC_INHIBITED"", ""4"": ""SNA""}",5.0,7.0,1.0,0.0,3,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_sysStatusCounter,,int,,0.0,15.0,1.0,0.0,4,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_sysStatusChecksum,,int,,0.0,255.0,1.0,0.0,8,False,,EPAS_sysStatus,0x370,can1-can.dbc,
EPAS_currentTuneMode,,int,,,,1.0,0.0,4,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
EPAS_steeringReduced,,int,,0.0,1.0,1.0,0.0,1,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
EPAS_steeringFault,,int,,0.0,1.0,1.0,0.0,1,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
EPAS_steeringRackForce,N,int,,-25575.0,25575.0,50.0,-25575.0,10,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
EPAS_eacErrorCode,,int,,0.0,15.0,1.0,0.0,4,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
EPAS_torsionBarTorque,Nm,int,,-20.5,20.45,0.01,-20.5,12,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
EPAS_handsOnLevel,,int,,0.0,3.0,1.0,0.0,2,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
EPAS_internalSAS,deg,int,,-819.2,819.0,0.1,-819.2,14,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
EPAS_eacStatus,,int,,0.0,7.0,1.0,0.0,3,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
EPAS_sysStatusCounter,,int,,0.0,15.0,1.0,0.0,4,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
EPAS_sysStatusChecksum,,int,,0.0,255.0,1.0,0.0,8,False,,EPAS3P_sysStatus,0x131,can1-can.dbc,
StW_Angl,deg,int,,,,0.5,-2048.0,14,False,,STW_ANGL_STAT,0x3,can1-can.dbc,
StW_AnglSpd,/s,int,,,,0.5,-2048.0,14,False,,STW_ANGL_STAT,0x3,can1-can.dbc,
StW_AnglSens_Id,,enum,"{""2"": ""MUST"", ""0"": ""PSBL"", ""1"": ""SELF""}",3.0,3.0,1.0,0.0,2,False,,STW_ANGL_STAT,0x3,can1-can.dbc,
StW_AnglSens_Stat,,enum,"{""2"": ""ERR"", ""3"": ""ERR_INI"", ""1"": ""INI"", ""0"": ""OK""}",-1.0,4.0,1.0,0.0,2,False,,STW_ANGL_STAT,0x3,can1-can.dbc,
MC_STW_ANGL_STAT,,int,,0.0,15.0,1.0,0.0,4,False,,STW_ANGL_STAT,0x3,can1-can.dbc,
CRC_STW_ANGL_STAT,,int,,0.0,255.0,1.0,0.0,8,False,,STW_ANGL_STAT,0x3,can1-can.dbc,
StW_AnglHP,deg,int,,-819.2,819.0,0.1,-819.2,14,False,,STW_ANGLHP_STAT,0xe,can1-can.dbc,
StW_AnglHP_Spd,deg/s,int,,-4096.0,4095.5,0.5,-4096.0,14,False,,STW_ANGLHP_STAT,0xe,can1-can.dbc,
StW_AnglHP_Sens_Id,,enum,"{""3"": ""SNA"", ""2"": ""KOSTAL"", ""1"": ""DELPHI"", ""0"": ""TEST""}",,,1.0,0.0,2,False,,STW_ANGLHP_STAT,0xe,can1-can.dbc,
StW_AnglHP_Sens_Stat,,enum,"{""3"": ""SNA"", ""2"": ""ERR"", ""1"": ""INI"", ""0"": ""OK""}",,,1.0,0.0,2,False,,STW_ANGLHP_STAT,0xe,can1-can.dbc,
MC_STW_ANGLHP_STAT,,int,,0.0,15.0,1.0,0.0,4,False,,STW_ANGLHP_STAT,0xe,can1-can.dbc,
CRC_STW_ANGLHP_STAT,,int,,,,1.0,0.0,8,False,,STW_ANGLHP_STAT,0xe,can1-can.dbc,
DI_torqueDriver,Nm,int,,-750.0,750.0,0.25,0.0,13,False,,DI_torque1,0x108,can1-can.dbc,
DI_torque1Counter,,int,,,,1.0,0.0,3,False,,DI_torque1,0x108,can1-can.dbc,
DI_torqueMotor,Nm,int,,-750.0,750.0,0.25,0.0,13,False,,DI_torque1,0x108,can1-can.dbc,
DI_soptState,,enum,"{""7"": ""SOPT_TEST_SNA"", ""4"": ""SOPT_TEST_NOT_RUN"", ""3"": ""SOPT_TEST_PASSED"", ""2"": ""SOPT_TEST_FAILED"", ""1"": ""SOPT_TEST_IN_PROGRESS"", ""0"": ""SOPT_PRE_TEST""}",,,1.0,0.0,3,False,,DI_torque1,0x108,can1-can.dbc,
DI_motorRPM,RPM,int,,-17000.0,17000.0,1.0,0.0,16,False,,DI_torque1,0x108,can1-can.dbc,
DI_pedalPos,%,int,,0.0,100.0,0.4,0.0,8,False,,DI_torque1,0x108,can1-can.dbc,
DI_torque1Checksum,,int,,,,1.0,0.0,8,False,,DI_torque1,0x108,can1-can.dbc,
DI_torqueEstimate,Nm,int,,-750.0,750.0,0.5,0.0,12,False,,DI_torque2,0x118,can1-can.dbc,
DI_gear,,enum,"{""7"": ""DI_GEAR_SNA"", ""4"": ""DI_GEAR_D"", ""3"": ""DI_GEAR_N"", ""2"": ""DI_GEAR_R"", ""1"": ""DI_GEAR_P"", ""0"": ""DI_GEAR_INVALID""}",,,1.0,0.0,3,False,,DI_torque2,0x118,can1-can.dbc,
DI_brakePedal,,enum,"{""1"": ""Applied"", ""0"": ""Not_applied""}",,,1.0,0.0,1,False,,DI_torque2,0x118,can1-can.dbc,
DI_vehicleSpeed,MPH,int,,-25.0,179.75,0.05,-25.0,12,False,,DI_torque2,0x118,can1-can.dbc,
DI_gearRequest,,enum,"{""7"": ""DI_GEAR_SNA"", ""4"": ""DI_GEAR_D"", ""3"": ""DI_GEAR_N"", ""2"": ""DI_GEAR_R"", ""1"": ""DI_GEAR_P"", ""0"": ""DI_GEAR_INVALID""}",,,1.0,0.0,3,False,,DI_torque2,0x118,can1-can.dbc,
DI_torqueInterfaceFailure,,enum,"{""1"": ""TORQUE_INTERFACE_FAILED"", ""0"": ""TORQUE_INTERFACE_NORMAL""}",,,1.0,0.0,1,False,,DI_torque2,0x118,can1-can.dbc,
DI_torque2Counter,,int,,,,1.0,0.0,4,False,,DI_torque2,0x118,can1-can.dbc,
DI_brakePedalState,,enum,"{""3"": ""SNA"", ""2"": ""INVALID"", ""1"": ""ON"", ""0"": ""OFF""}",,,1.0,0.0,2,False,,DI_torque2,0x118,can1-can.dbc,
DI_epbParkRequest,,enum,"{""1"": ""Park_requested"", ""0"": ""No_request""}",,,1.0,0.0,1,False,,DI_torque2,0x118,can1-can.dbc,
DI_epbInterfaceReady,,enum,"{""1"": ""EPB_INTERFACE_READY"", ""0"": ""EPB_INTERFACE_NOT_READY""}",,,1.0,0.0,1,False,,DI_torque2,0x118,can1-can.dbc,
DI_torque2Checksum,,int,,,,1.0,0.0,8,False,,DI_torque2,0x118,can1-can.dbc,
ESP_espLampFlash,,enum,"{""1"": ""FLASH"", ""0"": ""OFF""}",-1.0,2.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_espFaultLamp,,enum,"{""0"": ""OFF"", ""1"": ""ON""}",-1.0,2.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_tcLampFlash,,enum,"{""1"": ""FLASH"", ""0"": ""OFF""}",-1.0,2.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_brakeDiscWipingActive,,enum,"{""1"": ""ACTIVE"", ""0"": ""INACTIVE""}",-1.0,2.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_brakeLamp,,enum,"{""0"": ""OFF"", ""1"": ""ON""}",-1.0,2.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_absBrakeEvent,,enum,"{""1"": ""ACTIVE"", ""0"": ""NOT_ACTIVE""}",-1.0,2.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_hillStartAssistActive,,enum,"{""1"": ""ACTIVE"", ""0"": ""INACTIVE"", ""2"": ""NOT_AVAILABLE"", ""3"": ""SNA""}",-1.0,4.0,1.0,0.0,2,False,,ESP_135h,0x135,can1-can.dbc,
ESP_tcOffLamp,,int,,0.0,1.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_stabilityControlSts,,enum,"{""2"": ""ENGAGED"", ""3"": ""FAULTED"", ""5"": ""INIT"", ""4"": ""NOT_CONFIGURED"", ""0"": ""OFF"", ""1"": ""ON""}",6.0,7.0,1.0,0.0,3,False,,ESP_135h,0x135,can1-can.dbc,
ESP_135hCounter,,int,,0.0,15.0,1.0,0.0,4,False,,ESP_135h,0x135,can1-can.dbc,
ESP_135hChecksum,,int,,0.0,255.0,1.0,0.0,8,False,,ESP_135h,0x135,can1-can.dbc,
ESP_espOffLamp,,enum,"{""0"": ""OFF"", ""1"": ""ON""}",-1.0,2.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_hydraulicBoostEnabled,,int,,0.0,1.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_messageDynoModeActive,,int,,0.0,1.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_tcDisabledByFault,,int,,0.0,1.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_absFaultLamp,,enum,"{""0"": ""OFF"", ""1"": ""ON""}",-1.0,2.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_messageEBDFailure,,int,,0.0,1.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_messagePumpFailure,,int,,0.0,1.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_messagePumpService,,int,,0.0,1.0,1.0,0.0,1,False,,ESP_135h,0x135,can1-can.dbc,
ESP_wheelPulseCountFrL,,int,,0.0,254.0,1.0,0.0,8,False,,ESP_B,0x155,can1-can.dbc,
ESP_wheelPulseCountFrR,,int,,0.0,254.0,1.0,0.0,8,False,,ESP_B,0x155,can1-can.dbc,
ESP_wheelPulseCountReL,,int,,0.0,254.0,1.0,0.0,8,False,,ESP_B,0x155,can1-can.dbc,
ESP_wheelPulseCountReR,,int,,0.0,254.0,1.0,0.0,8,False,,ESP_B,0x155,can1-can.dbc,
ESP_BChecksum,,int,,0.0,255.0,1.0,0.0,8,False,,ESP_B,0x155,can1-can.dbc,
ESP_vehicleSpeed,kph,int,,,,0.00999999978,0.0,16,False,,ESP_B,0x155,can1-can.dbc,
ESP_BCounter,,int,,1.0,15.0,1.0,0.0,4,False,,ESP_B,0x155,can1-can.dbc,
ESP_vehicleSpeedQF,,int,,1.0,2.0,1.0,0.0,2,False,,ESP_B,0x155,can1-can.dbc,
SDM_bcklDrivStatus,,int,,0.0,3.0,1.0,0.0,2,False,,SDM1,0x201,can1-can.dbc,
SDM_bcklPassStatus,,int,,0.0,3.0,1.0,0.0,2,False,,SDM1,0x201,can1-can.dbc,
EPB_epasEACAllow,,int,,4.0,7.0,1.0,0.0,3,False,,EPB_epasControl,0x214,can1-can.dbc,
EPB_epasControlCounter,,int,,0.0,15.0,1.0,0.0,4,False,,EPB_epasControl,0x214,can1-can.dbc,
EPB_epasControlChecksum,,int,,0.0,255.0,1.0,0.0,8,False,,EPB_epasControl,0x214,can1-can.dbc,
YEAR,Year,int,,2000.0,2127.0,1.0,2000.0,7,False,,GTW_carState,0x318,can1-can.dbc,
CERRD,,enum,"{""1"": ""CAN error detect"", ""0"": ""no Can error detected""}",0.0,1.0,1.0,0.0,1,False,,GTW_carState,0x318,can1-can.dbc,
MONTH,Month,int,,1.0,12.0,1.0,0.0,4,False,,GTW_carState,0x318,can1-can.dbc,
DOOR_STATE_FL,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
DOOR_STATE_FR,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
SECOND,s,int,,0.0,59.0,1.0,0.0,6,False,,GTW_carState,0x318,can1-can.dbc,
DOOR_STATE_RL,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
Hour,h,int,,0.0,23.0,1.0,0.0,5,False,,GTW_carState,0x318,can1-can.dbc,
DOOR_STATE_RR,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
DAY,,int,,0.0,31.0,1.0,0.0,5,False,,GTW_carState,0x318,can1-can.dbc,
MINUTE,min,int,,0.0,59.0,1.0,0.0,6,False,,GTW_carState,0x318,can1-can.dbc,
BOOT_STATE,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
GTW_updateInProgress,,enum,"{""1"": ""IN_PROGRESS"", ""2"": ""IN_PROGRESS_NOT_USED"", ""3"": ""IN_PROGRESS_SNA"", ""0"": ""NOT_IN_PROGRESS""}",0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
BC_headLightLStatus,,int,,0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
DOOR_STATE_FrontTrunk,,enum,"{""2"": ""Init"", ""3"": ""SNA"", ""0"": ""closed"", ""1"": ""open""}",0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
MCU_transportModeOn,,enum,"{""0"": ""NORMAL_MODE""}",0.0,1.0,1.0,0.0,1,False,,GTW_carState,0x318,can1-can.dbc,
MCU_factoryMode,,enum,"{""1"": ""FACTORY_MODE"", ""0"": ""NORMAL_MODE""}",0.0,1.0,1.0,0.0,1,False,,GTW_carState,0x318,can1-can.dbc,
BC_indicatorRStatus,,int,,0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
BC_indicatorLStatus,,int,,0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
BC_headLightRStatus,,int,,0.0,3.0,1.0,0.0,2,False,,GTW_carState,0x318,can1-can.dbc,
DI_systemState,,enum,"{""3"": ""ABORT"", ""4"": ""ENABLE"", ""2"": ""FAULT"", ""1"": ""STANDBY"", ""0"": ""UNAVAILABLE""}",,,1.0,0.0,3,False,,DI_state,0x368,can1-can.dbc,
DI_vehicleHoldState,,enum,"{""2"": ""BLEND_IN"", ""4"": ""BLEND_OUT"", ""6"": ""FAULT"", ""7"": ""INIT"", ""5"": ""PARK"", ""1"": ""STANDBY"", ""3"": ""STANDSTILL"", ""0"": ""UNAVAILABLE""}",,,1.0,0.0,3,False,,DI_state,0x368,can1-can.dbc,
DI_proximity,,int,,,,1.0,0.0,1,False,,DI_state,0x368,can1-can.dbc,
DI_driveReady,,int,,,,1.0,0.0,1,False,,DI_state,0x368,can1-can.dbc,
DI_regenLight,,int,,,,1.0,0.0,1,False,,DI_state,0x368,can1-can.dbc,
DI_state,,enum,"{""3"": ""ABORT"", ""4"": ""ENABLE"", ""2"": ""FAULT"", ""1"": ""STANDBY"", ""0"": ""UNAVAILABLE""}",,,1.0,0.0,3,False,,DI_state,0x368,can1-can.dbc,
DI_cruiseState,,enum,"{""2"": ""ENABLED"", ""5"": ""FAULT"", ""0"": ""OFF"", ""4"": ""OVERRIDE"", ""7"": ""PRE_CANCEL"", ""6"": ""PRE_FAULT"", ""1"": ""STANDBY"", ""3"": ""STANDSTILL""}",,,1.0,0.0,4,False,,DI_state,0x368,can1-can.dbc,
DI_analogSpeed,speed,int,,0.0,150.0,0.1,0.0,12,False,,DI_state,0x368,can1-can.dbc,
DI_immobilizerState,,enum,"{""2"": ""AUTHENTICATING"", ""3"": ""DISARMED"", ""6"": ""FAULT"", ""4"": ""IDLE"", ""0"": ""INIT_SNA"", ""1"": ""REQUEST"", ""5"": ""RESET""}",,,1.0,0.0,3,False,,DI_state,0x368,can1-can.dbc,
DI_speedUnits,,enum,"{""1"": ""KPH"", ""0"": ""MPH""}",0.0,1.0,1.0,0.0,1,False,,DI_state,0x368,can1-can.dbc,
DI_cruiseSet,speed,int,,0.0,255.5,0.5,0.0,9,False,,DI_state,0x368,can1-can.dbc,
DI_aebState,,enum,"{""2"": ""ENABLED"", ""4"": ""FAULT"", ""7"": ""SNA"", ""1"": ""STANDBY"", ""3"": ""STANDSTILL"", ""0"": ""UNAVAILABLE""}",,,1.0,0.0,3,False,,DI_state,0x368,can1-can.dbc,
